question,answer,risk_severity,nist_pillar,achivement_type,identified_risk,remediation_plan,policy_document_link,id
Necessary roles and responsibilities for the security of networks and information systems supporting your essential service have been identified. These are reviewed periodically to ensure they remain fit for purpose?,no,Low,Identify,Achieved,Roles and responsibilities becoming outdated or inadequate over time.,Regularly review and update role descriptions to ensure they remain aligned with security requirements and Organisational goals.,Policy is not availble,23
Necessary roles and responsibilities for the security of networks and information systems supporting your essential service have been identified. These are reviewed periodically to ensure they remain fit for purpose?,yes,No risk,Identify,Achieved,Roles and responsibilities becoming outdated or inadequate over time.,Regularly review and update role descriptions to ensure they remain aligned with security requirements and Organisational goals.,Policy is not availble,24
"Appropriately capable and knowledgeable staff fill those roles and are given the time, authority, and resources to carry out their duties?",no,Medium,Identify,Achieved,Inadequate staffing or skill gaps leading to ineffective security measures.,"Invest in staff training and development programs, and ensure adequate resources are allocated for security roles.",Policy is not availble,25
"Appropriately capable and knowledgeable staff fill those roles and are given the time, authority, and resources to carry out their duties?",yes,No risk,Identify,Achieved,Inadequate staffing or skill gaps leading to ineffective security measures.,"Invest in staff training and development programs, and ensure adequate resources are allocated for security roles.",Policy is not availble,26
There is clarity on who in your Organisation has overall accountability for the security of the networks and information systems supporting your essential service?,no,Medium,Identify,Achieved,Unclear accountability leading to potential oversight or neglect of security responsibilities.,"Clearly define and communicate accountability structures within the Organisation, ensuring everyone understands their roles and responsibilities.",Policy is not availble,27
There is clarity on who in your Organisation has overall accountability for the security of the networks and information systems supporting your essential service?,yes,No risk,Identify,Achieved,Unclear accountability leading to potential oversight or neglect of security responsibilities.,"Clearly define and communicate accountability structures within the Organisation, ensuring everyone understands their roles and responsibilities.",Policy is not availble,28
"What should be relatively straightforward risk decisions are constantly referred up the chain, or not made?",yes,High,Identify,Not Achieved,Risk decisions not made effectively at appropriate level,Establish clear processes for risk decision-making and delegation of authority.,Policy is not availble,29
"What should be relatively straightforward risk decisions are constantly referred up the chain, or not made?",no,No risk,Identify,Not Achieved,Risk decisions not made effectively at appropriate level,Establish clear processes for risk decision-making and delegation of authority.,Policy is not availble,30
Risks are resolved informally (or ignored) at a local level without a formal reporting mechanism when it is not appropriate?,yes,High,Identify,Not Achieved,Risks not considered in context of other Organisational risks,Integrate risk management with overall Organisational risk management processes.,Policy is not availble,31
Risks are resolved informally (or ignored) at a local level without a formal reporting mechanism when it is not appropriate?,no,No risk,Identify,Not Achieved,Risks not considered in context of other Organisational risks,Integrate risk management with overall Organisational risk management processes.,Policy is not availble,32
"Decision-makers are unsure of what senior management's risk appetite is, or only understand it in vague terms such as ""averse"" or ""cautious"".?",yes,Medium,Identify,Not Achieved,Lack of clarity on Organisation's risk appetite,Define and communicate Organisation's risk appetite clearly.,Policy is not availble,33
"Decision-makers are unsure of what senior management's risk appetite is, or only understand it in vague terms such as ""averse"" or ""cautious"".?",no,No risk,Identify,Not Achieved,Lack of clarity on Organisation's risk appetite,Define and communicate Organisation's risk appetite clearly.,Policy is not availble,34
Organisational structure causes risk decisions to be made in isolation. (e.g. engineering and IT don't talk to each other about risk.)?,yes,High,Identify,Not Achieved,Ineffective communication and collaboration between departments regarding risk management,Improve communication and collaboration between departments regarding risk management.,Policy is not availble,35
Organisational structure causes risk decisions to be made in isolation. (e.g. engineering and IT don't talk to each other about risk.)?,no,No risk,Identify,Not Achieved,Ineffective communication and collaboration between departments regarding risk management,Improve communication and collaboration between departments regarding risk management.,Policy is not availble,36
"Risk priorities are too vague to make meaningful distinctions between them. (e.g. almost all risks are rated 'medium' or 'amber'.)?
",yes,High,Identify,Not Achieved,Lack of clarity in risk prioritization leading to ineffective decision-making.,Establish clear criteria for risk prioritization and ensure risks are assessed and categorized appropriately.,Policy is not availble,37
"Risk priorities are too vague to make meaningful distinctions between them. (e.g. almost all risks are rated 'medium' or 'amber'.)?
",no,No risk,Identify,Not Achieved,Lack of clarity in risk prioritization leading to ineffective decision-making.,Establish clear criteria for risk prioritization and ensure risks are assessed and categorized appropriately.,Policy is not availble,38
"Senior management have visibility of key risk decisions made throughout the organisation?



",no,Low,Identify,Achieved,Lack of senior management oversight leading to potential misalignment with Organisational goals.,Maintain current practices of providing senior management with visibility into key risk decisions and ensure regular communication channels are established.,Policy is not availble,39
"Senior management have visibility of key risk decisions made throughout the organisation?



",yes,No risk,Identify,Achieved,Lack of senior management oversight leading to potential misalignment with Organisational goals.,Maintain current practices of providing senior management with visibility into key risk decisions and ensure regular communication channels are established.,Policy is not availble,40
"Risk management decision-makers understand their responsibilities for making effective and timely decisions in the context of the risk appetite regarding the essential service, as set by senior management?",no,Low,Identify,Achieved,Lack of clarity leading to delays or ineffective risk management decisions.,Provide training and support to risk management decision-makers to ensure they understand their responsibilities clearly.,Policy is not availble,41
"Risk management decision-makers understand their responsibilities for making effective and timely decisions in the context of the risk appetite regarding the essential service, as set by senior management?",yes,No risk,Identify,Achieved,Lack of clarity leading to delays or ineffective risk management decisions.,Provide training and support to risk management decision-makers to ensure they understand their responsibilities clearly.,Policy is not availble,42
"Risk management decision-making is delegated and escalated where necessary, across the organisation, to people who have the skills, knowledge, tools, and authority they need?",no,Medium,Identify,Achieved,Ineffective delegation leading to bottlenecks or delays in decision-making.,Ensure clear delegation and escalation protocols are established and understood across the Organisation.,Policy is not availble,43
"Risk management decision-making is delegated and escalated where necessary, across the organisation, to people who have the skills, knowledge, tools, and authority they need?",yes,No risk,Identify,Achieved,Ineffective delegation leading to bottlenecks or delays in decision-making.,Ensure clear delegation and escalation protocols are established and understood across the Organisation.,Policy is not availble,44
Risk management decisions are periodically reviewed to ensure their continued relevance and validity?,no,Medium,Identify,Achieved,Lack of review leading to outdated or ineffective risk management strategies.,Implement regular review processes to ensure risk management decisions remain aligned with Organisational objectives and current risk landscape.,Policy is not availble,45
Risk management decisions are periodically reviewed to ensure their continued relevance and validity?,yes,No risk,Identify,Achieved,Lack of review leading to outdated or ineffective risk management strategies.,Implement regular review processes to ensure risk management decisions remain aligned with Organisational objectives and current risk landscape.,Policy is not availble,46
Risk assessments are not based on a clearly defined set of threat assumptions?,yes,High,Identify,Not Achieved,Lack of foundational understanding leading to incomplete or inaccurate risk assessments,Develop a standardized set of threat assumptions and ensure risk assessments are aligned with them.,Policy is not availble,47
Risk assessments are not based on a clearly defined set of threat assumptions?,no,No risk,Identify,Not Achieved,Lack of foundational understanding leading to incomplete or inaccurate risk assessments,Develop a standardized set of threat assumptions and ensure risk assessments are aligned with them.,Policy is not availble,48
Risk assessment outputs are too complex or unwieldy to be consumed by decision-makers and are not effectively communicated in a clear and timely manner?,yes,High,Identify,Not Achieved,Lack of clarity leading to misinformed decision-making.,Simplify risk assessment outputs and establish clear communication channels for decision-makers.,Policy is not availble,49
Risk assessment outputs are too complex or unwieldy to be consumed by decision-makers and are not effectively communicated in a clear and timely manner?,no,No risk,Identify,Not Achieved,Lack of clarity leading to misinformed decision-making.,Simplify risk assessment outputs and establish clear communication channels for decision-makers.,Policy is not availble,50
"Risk assessments for critical systems are a ""one-off"" activity (or not done at all)?
",yes,High,Identify,Not Achieved,Lack of ongoing risk management leading to potential vulnerabilities.,Implement a regular risk assessment schedule for critical systems and ensure they are conducted consistently.,Policy is not availble,51
"Risk assessments for critical systems are a ""one-off"" activity (or not done at all)?
",no,No risk,Identify,Not Achieved,Lack of ongoing risk management leading to potential vulnerabilities.,Implement a regular risk assessment schedule for critical systems and ensure they are conducted consistently.,Policy is not availble,52
The security elements of projects or programmes are solely dependent on the completion of a risk management assessment without any regard to the outcomes?,yes,Medium,Identify,Not Achieved,Over-reliance on risk assessments leading to potential gaps in security measures.,Incorporate multiple layers of security measures beyond risk assessments into project planning.,Policy is not availble,53
The security elements of projects or programmes are solely dependent on the completion of a risk management assessment without any regard to the outcomes?,no,No risk,Identify,Not Achieved,Over-reliance on risk assessments leading to potential gaps in security measures.,Incorporate multiple layers of security measures beyond risk assessments into project planning.,Policy is not availble,54
"There is no systematic process in place to ensure that identified security risks are managed effectively?
",yes,High,Identify,Not Achieved,Potential for unresolved security risks leading to vulnerabilities.,"Establish a systematic process for managing identified security risks, including clear escalation procedures.",Policy is not availble,55
"There is no systematic process in place to ensure that identified security risks are managed effectively?
",no,No risk,Identify,Not Achieved,Potential for unresolved security risks leading to vulnerabilities.,"Establish a systematic process for managing identified security risks, including clear escalation procedures.",Policy is not availble,56
"Systems are assessed in isolation, without consideration of dependencies and interactions with other systems. (e.g. interactions between IT and OT environments.)?",yes,High,Identify,Not Achieved,Incomplete risk assessments leading to overlooked vulnerabilities.,Ensure risk assessments consider dependencies and interactions between systems.,Policy is not availble,57
"Systems are assessed in isolation, without consideration of dependencies and interactions with other systems. (e.g. interactions between IT and OT environments.)?",no,No risk,Identify,Not Achieved,Incomplete risk assessments leading to overlooked vulnerabilities.,Ensure risk assessments consider dependencies and interactions between systems.,Policy is not availble,58
Security requirements and mitigation's are arbitrary or are applied from a control catalogue without consideration of how they contribute to the security of the essential service?,yes,Medium,Identify,Not Achieved,Ineffective security measures leading to potential vulnerabilities.,Ensure security requirements are tailored to address specific risks and Organisational needs.,Policy is not availble,59
Security requirements and mitigation's are arbitrary or are applied from a control catalogue without consideration of how they contribute to the security of the essential service?,no,No risk,Identify,Not Achieved,Ineffective security measures leading to potential vulnerabilities.,Ensure security requirements are tailored to address specific risks and Organisational needs.,Policy is not availble,60
Risks remain unresolved on a register for prolonged periods of time awaiting senior decision making or resource allocation to resolve?,yes,High,Identify,Not Achieved,Potential for prolonged exposure to vulnerabilities.,Establish clear timelines and accountability for resolving identified risks.,Policy is not availble,61
Risks remain unresolved on a register for prolonged periods of time awaiting senior decision making or resource allocation to resolve?,no,No risk,Identify,Not Achieved,Potential for prolonged exposure to vulnerabilities.,Establish clear timelines and accountability for resolving identified risks.,Policy is not availble,62
"Your organisational process ensures that security risks to networks and information systems relevant to essential services are identified, analysed, prioritised, and managed?",yes,Low,Identify,Partially Achieved,Risk management process aligns with Organisational goals.,Maintain current risk management processes and ensure ongoing monitoring.,Policy is not availble,63
"Your organisational process ensures that security risks to networks and information systems relevant to essential services are identified, analysed, prioritised, and managed?",no,No risk,Identify,Partially Achieved,Risk management process aligns with Organisational goals.,Maintain current risk management processes and ensure ongoing monitoring.,Policy is not availble,64
Your risk assessments are informed by an understanding of the vulnerabilities in the networks and information systems supporting your essential service?,yes,Low,Identify,Partially Achieved,Risk assessments based on comprehensive understanding.,Continue to update risk assessments with latest vulnerability information.,Policy is not availble,65
Your risk assessments are informed by an understanding of the vulnerabilities in the networks and information systems supporting your essential service?,no,No risk,Identify,Partially Achieved,Risk assessments based on comprehensive understanding.,Continue to update risk assessments with latest vulnerability information.,Policy is not availble,66
The output from your risk management process is a clear set of security requirements that will address the risks in line with your organisational approach to security?,yes,Low,Identify,Partially Achieved,Effective translation of risk assessments into actionable measures.,Continue to communicate clear security requirements derived from risk assessments.,Policy is not availble,67
The output from your risk management process is a clear set of security requirements that will address the risks in line with your organisational approach to security?,no,No risk,Identify,Partially Achieved,Effective translation of risk assessments into actionable measures.,Continue to communicate clear security requirements derived from risk assessments.,Policy is not availble,68
Significant conclusions reached in the course of your risk management process are communicated to key security decision-makers and accountable individuals?,yes,Low,Identify,Partially Achieved,Ensuring alignment between risk management and decision-making processes.,Continue to communicate significant findings to relevant stakeholders.,Policy is not availble,69
Significant conclusions reached in the course of your risk management process are communicated to key security decision-makers and accountable individuals?,no,No risk,Identify,Partially Achieved,Ensuring alignment between risk management and decision-making processes.,Continue to communicate significant findings to relevant stakeholders.,Policy is not availble,70
"You conduct risk assessments when significant events potentially affect the essential service, such as replacing a system or a change in the cyber security threat?
",yes,Low,Identify,Partially Achieved,Ensuring timely assessment and response to emerging risks.,Continue to conduct risk assessments during significant events.,Policy is not availble,71
"You conduct risk assessments when significant events potentially affect the essential service, such as replacing a system or a change in the cyber security threat?
",no,No risk,Identify,Partially Achieved,Ensuring timely assessment and response to emerging risks.,Continue to conduct risk assessments during significant events.,Policy is not availble,72
"Your organisational process ensures that security risks to networks and information 
systems relevant to essential services are identified, analysed, prioritised, and managed?",yes,Low,Identify,Partially Achieved,Risk management process aligns with Organisational goals.,Maintain current risk management processes and ensure ongoing monitoring.,Policy is not availble,73
"Your organisational process ensures that security risks to networks and information 
systems relevant to essential services are identified, analysed, prioritised, and managed?",no,No risk,Identify,Partially Achieved,Risk management process aligns with Organisational goals.,Maintain current risk management processes and ensure ongoing monitoring.,Policy is not availble,74
"Your approach to risk is focused on the possibility of disruption to essential service, leading to a detailed understanding of how such disruption might arise as a consequence of possible attacker actions and the security properties of your networks and information systems?",no,Low,Identify,Achieved,Focus on possibility of disruption to essential service,- Ensure that risk management processes are oriented towards understanding and mitigating potential disruptions to the essential service.<br>- Conduct detailed analysis of possible attacker actions and the security properties of networks and information systems.,Policy is not availble,75
"Your approach to risk is focused on the possibility of disruption to essential service, leading to a detailed understanding of how such disruption might arise as a consequence of possible attacker actions and the security properties of your networks and information systems?",yes,No risk,Identify,Achieved,Focus on possibility of disruption to essential service,- Ensure that risk management processes are oriented towards understanding and mitigating potential disruptions to the essential service.<br>- Conduct detailed analysis of possible attacker actions and the security properties of networks and information systems.,Policy is not availble,76
"Your risk assessments are based on a clearly understood set of threat assumptions, informed by an up-to-date understanding of security threats to your essential service and your sector?",no,Low,Identify,Achieved,Risk assessments based on clearly understood threat assumptions,- Maintain an up-to-date understanding of security threats relevant to the essential service and the sector.<br>- Base risk assessments on clearly defined threat assumptions derived from this understanding.,Policy is not availble,77
"Your risk assessments are based on a clearly understood set of threat assumptions, informed by an up-to-date understanding of security threats to your essential service and your sector?",yes,No risk,Identify,Achieved,Risk assessments based on clearly understood threat assumptions,- Maintain an up-to-date understanding of security threats relevant to the essential service and the sector.<br>- Base risk assessments on clearly defined threat assumptions derived from this understanding.,Policy is not availble,78
Your risk assessments are informed by an understanding of the vulnerabilities in the networks and information systems supporting your essential service?,no,Low,Identify,Achieved,Risk assessments informed by understanding of vulnerabilities in supporting networks and information systems,- Include analysis of vulnerabilities in networks and information systems supporting the essential service in risk assessments.<br>- Ensure that risk assessments comprehensively address potential vulnerabilities.,Policy is not availble,79
Your risk assessments are informed by an understanding of the vulnerabilities in the networks and information systems supporting your essential service?,yes,No risk,Identify,Achieved,Risk assessments informed by understanding of vulnerabilities in supporting networks and information systems,- Include analysis of vulnerabilities in networks and information systems supporting the essential service in risk assessments.<br>- Ensure that risk assessments comprehensively address potential vulnerabilities.,Policy is not availble,80
The output from your risk management process is a clear set of security requirements that will address the risks in line with your Organisational approach to security?,no,Low,Identify,Achieved,Output from risk management process is clear security requirements addressing risks,- Ensure that the output from risk management processes includes a clear set of security requirements.<br>- Align these requirements with the Organisational approach to security and ensure they effectively address identified risks.,Policy is not availble,81
The output from your risk management process is a clear set of security requirements that will address the risks in line with your Organisational approach to security?,yes,No risk,Identify,Achieved,Output from risk management process is clear security requirements addressing risks,- Ensure that the output from risk management processes includes a clear set of security requirements.<br>- Align these requirements with the Organisational approach to security and ensure they effectively address identified risks.,Policy is not availble,82
Significant conclusions reached in the course of your risk management process are communicated to key security decision-makers and accountable individuals?,no,Low,Identify,Achieved,Communication of significant conclusions to key decision-makers,- Establish mechanisms for effectively communicating significant conclusions from risk assessments to key security decision-makers and accountable individuals within the Organisation.<br>- Ensure that these conclusions inform decision-making processes.,Policy is not availble,83
Significant conclusions reached in the course of your risk management process are communicated to key security decision-makers and accountable individuals?,yes,No risk,Identify,Achieved,Communication of significant conclusions to key decision-makers,- Establish mechanisms for effectively communicating significant conclusions from risk assessments to key security decision-makers and accountable individuals within the Organisation.<br>- Ensure that these conclusions inform decision-making processes.,Policy is not availble,84
"You conduct risk assessments when significant events potentially affect the essential service, such as replacing a system or a change in the cyber security threat?
",no,Low,Identify,Achieved,Conducting risk assessments during significant events,"- Integrate risk assessments into the Organisational change management process, ensuring that significant events trigger appropriate risk assessments.<br>- Include events such as system replacements or changes in cyber security threat landscape.",Policy is not availble,85
"You conduct risk assessments when significant events potentially affect the essential service, such as replacing a system or a change in the cyber security threat?
",yes,No risk,Identify,Achieved,Conducting risk assessments during significant events,"- Integrate risk assessments into the Organisational change management process, ensuring that significant events trigger appropriate risk assessments.<br>- Include events such as system replacements or changes in cyber security threat landscape.",Policy is not availble,86
"Your risk assessments are dynamic and updated in the light of relevant changes which may include technical changes to networks and information systems, change of use and new threat information?",no,Low,Identify,Achieved,Dynamic and updated risk assessments in light of relevant changes,"- Ensure that risk assessments remain dynamic and are updated regularly to reflect relevant changes.<br>- Changes may include technical alterations, shifts in system usage, or new threat intelligence.",Policy is not availble,87
"Your risk assessments are dynamic and updated in the light of relevant changes which may include technical changes to networks and information systems, change of use and new threat information?",yes,No risk,Identify,Achieved,Dynamic and updated risk assessments in light of relevant changes,"- Ensure that risk assessments remain dynamic and are updated regularly to reflect relevant changes.<br>- Changes may include technical alterations, shifts in system usage, or new threat intelligence.",Policy is not availble,88
"The effectiveness of your risk management process is reviewed periodically, and improvements made as required?",no,Low,Identify,Achieved,Periodic review of risk management process and implementation of improvements,- Establish a regular review process for evaluating the effectiveness of the risk management process.<br>- Identify areas for improvement and implement necessary changes to enhance the efficacy of risk management activities.,Policy is not availble,89
"The effectiveness of your risk management process is reviewed periodically, and improvements made as required?",yes,No risk,Identify,Achieved,Periodic review of risk management process and implementation of improvements,- Establish a regular review process for evaluating the effectiveness of the risk management process.<br>- Identify areas for improvement and implement necessary changes to enhance the efficacy of risk management activities.,Policy is not availble,90
You perform detailed threat analysis and understand how this applies to your Organisation in the context of the threat to your sector and the wider Critical National Infrastructure (CNI)?,no,Low,Identify,Achieved,Detailed threat analysis within the context of sector threat landscape,"- Conduct detailed threat analysis, considering the specific threats to the Organisation within the broader context of the sector and Critical National Infrastructure (CNI).<br>- Ensure that threat analysis informs risk assessments comprehensively.",Policy is not availble,91
You perform detailed threat analysis and understand how this applies to your Organisation in the context of the threat to your sector and the wider Critical National Infrastructure (CNI)?,yes,No risk,Identify,Achieved,Detailed threat analysis within the context of sector threat landscape,"- Conduct detailed threat analysis, considering the specific threats to the Organisation within the broader context of the sector and Critical National Infrastructure (CNI).<br>- Ensure that threat analysis informs risk assessments comprehensively.",Policy is not availble,92
"A particular product or service is seen as a ""silver bullet"" and vendor claims are taken at face value?",yes,High,Identify,Not Achieved,Lack of independent validation of security measures beyond vendor claims,Implement independent validation of security measures,Policy is not availble,93
"A particular product or service is seen as a ""silver bullet"" and vendor claims are taken at face value?",no,No risk,Identify,Not Achieved,Lack of independent validation of security measures beyond vendor claims,Implement independent validation of security measures,Policy is not availble,94
"Assurance methods are applied without appreciation of their strengths and limitations, such as the risks of penetration testing in operational environments?",yes,High,Identify,Not Achieved,Security deficiencies identified through assurance activities not addressed promptly,Develop process for prioritizing and remedying security deficiencies,Policy is not availble,95
"Assurance methods are applied without appreciation of their strengths and limitations, such as the risks of penetration testing in operational environments?",no,No risk,Identify,Not Achieved,Security deficiencies identified through assurance activities not addressed promptly,Develop process for prioritizing and remedying security deficiencies,Policy is not availble,96
Are assurance methods regularly reviewed to ensure their effectiveness and appropriateness?,yes,Medium,Identify,Not Achieved,Assurance methods not regularly reviewed for effectiveness and appropriateness,Regularly review and update assurance methods for effectiveness,Policy is not availble,97
Are assurance methods regularly reviewed to ensure their effectiveness and appropriateness?,no,No risk,Identify,Not Achieved,Assurance methods not regularly reviewed for effectiveness and appropriateness,Regularly review and update assurance methods for effectiveness,Policy is not availble,98
Assurance is assumed because there have been no known problems to date?,no,High,Identify,Achieved,False sense of security leading to potential vulnerabilities due to lack of proactive assurance activities.,Implement regular and proactive assurance activities regardless of past incident history.,Policy is not availble,99
Assurance is assumed because there have been no known problems to date?,yes,No risk,Identify,Achieved,False sense of security leading to potential vulnerabilities due to lack of proactive assurance activities.,Implement regular and proactive assurance activities regardless of past incident history.,Policy is not availble,100
You validate that the security measures in place to protect the networks and information systems are effective and remain effective for the lifetime over which they are needed?,no,Low,Identify,Achieved,Confidence in the effectiveness of security measures due to proactive validation processes.,Continue regular validation processes and ensure ongoing monitoring to maintain effectiveness of security measures.,Policy is not availble,101
You validate that the security measures in place to protect the networks and information systems are effective and remain effective for the lifetime over which they are needed?,yes,No risk,Identify,Achieved,Confidence in the effectiveness of security measures due to proactive validation processes.,Continue regular validation processes and ensure ongoing monitoring to maintain effectiveness of security measures.,Policy is not availble,102
You understand the assurance methods available to you and choose appropriate methods to gain confidence in the security of essential services?,no,Low,Identify,Achieved,Awareness and understanding of available assurance methods leading to effective security measures.,Continue to update knowledge on available assurance methods and ensure appropriate selection based on specific security.,Policy is not availble,103
You understand the assurance methods available to you and choose appropriate methods to gain confidence in the security of essential services?,yes,No risk,Identify,Achieved,Awareness and understanding of available assurance methods leading to effective security measures.,Continue to update knowledge on available assurance methods and ensure appropriate selection based on specific security.,Policy is not availble,104
"Your confidence in the security as it relates to your technology, people, and processes can be justified to, and verified by, a third party?",no,Low,Identify,Achieved,Confidence in security measures validated by third-party verification processes.,Continue to maintain transparency and readiness for third-party verification processes.,Policy is not availble,105
"Your confidence in the security as it relates to your technology, people, and processes can be justified to, and verified by, a third party?",yes,No risk,Identify,Achieved,Confidence in security measures validated by third-party verification processes.,Continue to maintain transparency and readiness for third-party verification processes.,Policy is not availble,106
"Security deficiencies uncovered by assurance activities are assessed, prioritised and remedied when necessary in a timely and effective way?",no,Low,Identify,Achieved,Timely and effective remediation of security deficiencies identified through assurance activities.,"Continue regular assessment, prioritization, and remediation processes to address security deficiencies promptly.",Policy is not availble,107
"Security deficiencies uncovered by assurance activities are assessed, prioritised and remedied when necessary in a timely and effective way?",yes,No risk,Identify,Achieved,Timely and effective remediation of security deficiencies identified through assurance activities.,"Continue regular assessment, prioritization, and remediation processes to address security deficiencies promptly.",Policy is not availble,108
The methods used for assurance are reviewed to ensure they are working as intended and remain the most appropriate method to use?,no,Low,Identify,Achieved,Regular review of assurance methods ensuring effectiveness and appropriateness.,Continue periodic reviews of assurance methods and adapt them as necessary to ensure effectiveness and appropriateness.,Policy is not availble,109
The methods used for assurance are reviewed to ensure they are working as intended and remain the most appropriate method to use?,yes,No risk,Identify,Achieved,Regular review of assurance methods ensuring effectiveness and appropriateness.,Continue periodic reviews of assurance methods and adapt them as necessary to ensure effectiveness and appropriateness.,Policy is not availble,110
"Inventories of assets relevant to the essential service are incomplete, non-existent, or inadequately detailed?",yes,High,Identify,Not Achieved,Incomplete or non-existent asset inventories can lead to gaps in understanding and managing critical assets.,"Regular audits and updates of asset inventories, along with automated asset tracking systems, can ensure completeness and accuracy.",Policy is not availble,111
